Subject,Time,A_FILL_LOSE_FILL_b,A_FILL_LOSE_FILL_r,A_FILL_LOSE_FILL_y,A_FILL_LOSE_FILL_b2,A_FILL_LOSE_FILL_r2,A_FILL_LOSE_FILL_y2,A_FILL_LOSE_FILL_b3,A_FILL_LOSE_FILL_r3,ALMO_FILL_LOSE_y3,A_FILL_LOSE_FILL_b4,ALMO_FILL_LOSE_r4,A_FILL_LOSE_FILL_y4,A_FILL_LOSE_FILL_b5,A_FILL_LOSE_FILL_r5,A_FILL_LOSE_FILL_y5,A_FILL_LOSE_FILL_r6,A_FILL_LOSE_FILL_y6,A_FILL_LOSE_FILL_b6,A_FILL_WIN_FILL_b,A_FILL_WIN_FILL_r,A_FILL_WIN_FILL_y,A_FILL_WIN_FILL_y2,A_FILL_WIN_FILL_b2,A_FILL_WIN_FILL_r2,A_FILL_WIN_FILL_b3,A_FILL_WIN_FILL_r3,A_FILL_WIN_FILL_y3,A_FILL_WIN_FILL_r4,A_FILL_WIN_FILL_y4,A_FILL_WIN_FILL_b4,A_q_d_n_b,A_FILL_LOSE_TAR_b,A_q_d_n_r,A_FILL_LOSE_TAR_r,A_q_d_n_y,A_FILL_LOSE_TAR_y,A_q_d_f_b,A_FILL_LOSE_TAR_b2,A_q_d_f_r,A_FILL_LOSE_TAR_r2,A_q_d_f_y,A_FILL_LOSE_TAR_y2,A_q_c_n_b,A_FILL_LOSE_TAR_b3,A_q_c_n_r,A_FILL_LOSE_TAR_r3,A_q_c_n_y,A_FILL_LOSE_TAR_y3,A_q_c_f_b,A_FILL_LOSE_TAR_b4,A_q_c_f_r,A_FILL_LOSE_TAR_r4,A_q_c_f_y,A_FILL_LOSE_TAR_Y4,A_s_d_n_b,A_FILL_LOSE_TAR_b5,A_s_d_n_r,A_FILL_LOSE_TAR_r5,A_s_d_n_y,A_FILL_LOSE_TAR_y5,A_s_d_f_b,A_FILL_LOSE_TAR_b6,A_s_d_f_r,A_FILL_LOSE_TAR_r6,A_s_d_f_y,A_FILL_LOSE_TAR_y6,A_s_c_n_b,A_FILL_LOSE_TAR_b7,A_s_c_n_r,A_FILL_LOSE_TAR_r7,A_s_c_n_y,A_FILL_LOSE_TAR_y7,A_s_c_f_b,A_FILL_LOSE_TAR_b8,A_s_c_f_r,A_FILL_LOSE_TAR_r8,A_s_c_f_y,A_FILL_LOSE_TAR_y8,B_FILL_LOSE_FILL_b,B_FILL_LOSE_FILL_r,B_FILL_LOSE_FILL_y,B_FILL_LOSE_FILL_b2,B_FILL_LOSE_FILL_r2,B_FILL_LOSE_FILL_y2,B_FILL_LOSE_FILL_b3,B_FILL_LOSE_FILL_r3,B_FILL_LOSE_FILL_y3,B_FILL_LOSE_FILL_b4,B_FILL_LOSE_FILL_r4,B_FILL_LOSE_FILL_y4,B_FILL_LOSE_FILL_b5,B_FILL_LOSE_FILL_r5,B_FILL_LOSE_FILL_y5,B_FILL_LOSE_FILL_r6,B_FILL_LOSE_FILL_y6,B_FILL_LOSE_FILL_b6,B_FILL_WIN_FILL_b,B_FILL_WIN_FILL_r,B_FILL_WIN_FILL_y,B_FILL_WIN_FILL_b2,B_FILL_WIN_FILL_r2,B_FILL_WIN_FILL_y2,B_FILL_WIN_FILL_b3,B_FILL_WIN_FILL_r3,B_FILL_WIN_FILL_y3,B_FILL_WIN_FILL_b4,B_FILL_WIN_FILL_r4,B_FILL_WIN_FILL_y4,B_q_d_n_b,B_FILL_LOSE_TAR_b,B_q_d_n_r,B_FILL_LOSE_TAR_r,B_q_d_n_y,B_FILL_LOSE_TAR_y,B_q_d_f_b,B_FILL_LOSE_TAR_b2,B_q_d_f_r,B_FILL_LOSE_TAR_r2,B_q_d_f_y,B_FILL_LOSE_TAR_y2,B_q_c_n_b,B_FILL_LOSE_TAR_b3,B_q_c_n_r,B_FILL_LOSE_TAR_r3,B_q_c_n_y,B_FILL_LOSE_TAR_y3,B_q_c_f_b,B_FILL_LOSE_TAR_b4,B_q_c_f_r,B_FILL_LOSE_TAR_r4,B_q_c_f_y,B_FILL_LOSE_TAR_y4,B_s_d_n_b,B_FILL_LOSE_TAR_b5,B_s_d_n_r,B_FILL_LOSE_TAR_r5,B_s_d_n_y,B_FILL_LOSE_TAR_y5,B_s_d_f_b,B_FILL_LOSE_TAR_b6,B_s_d_f_r,B_FILL_LOSE_TAR_r6,B_s_c_n_b,B_FILL_LOSE_TAR_b7,B_s_d_f_y,B_FILL_LOSE_TAR_y6,B_s_c_n_r,B_FILL_LOSE_TAR_r7,B_s_c_n_y,B_FILL_LOSE_TAR_y7,B_s_c_f_b,B_FILL_LOSE_TAR_b8,B_s_c_f_r,B_FILL_LOSE_TAR_r8,B_s_c_f_y,B_FILL_LOSE_TAR_y8
1,588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,1,3,2,1,1,2,1,3,1,2,2,3,8,11,9,11,9,11,3,11,4,11,6,11,9,11,6,11,8,11,4,11,4,11,4,11,9,11,7,11,8,11,4,11,5,11,8,11,4,11,8,11,9,11,2,11,4,11,3,11
2,542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,1,1,1,1,1,1,1,1,1,1,1,1,10,11,10,11,10,11,1,11,1,11,1,11,10,11,10,11,10,11,1,11,1,11,1,11,10,11,10,11,10,11,1,11,1,11,10,11,1,11,10,11,10,11,1,11,1,11,1,11
3,967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,9,8,9,8,8,8,8,8,8,8,9,9,8,9,8,8,9,9,9,7,8,8,8,8,7,9,7,9,9,9,8,8,8,7,9,7,8,7,8,7,9,9,8,9,8,9,8,9,8,8,9,9,9,8,7,9,8,8,8,7,9,9,9,9,7,9,9,8,9,8,8,8,9,9,8,9
4,1253,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,1,1,1,3,2,1,1,1,1,5,1,1,9,11,9,11,10,11,6,11,7,11,8,11,9,11,10,11,9,11,6,11,7,11,6,11,10,11,10,11,10,11,4,11,2,11,2,11,10,11,10,11,10,11,8,11,9,11,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1220,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,6,5,7,6,4,3,3,6,5,6,5,6,10,11,10,11,10,11,8,11,8,11,8,11,10,11,10,11,10,11,7,11,7,11,7,11,10,11,9,11,10,11,8,11,8,11,8,11,10,11,9,11,10,11,8,11,9,11,8,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,9,7,8,8,8,8,8,8,8,8,8,9,8,9,9,9,8,9,8,10,7,8,10,8,8,8,6,8,8,9,8,9,8,9,8,8,7,10,8,9,8,8,9,8,8,8,8,8,8,8,6,9,8,7,9,9,8,8,9,8,9,8,9,8,10,9,7,8,8,8,7,8,8,7,9,8,8
7,1169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,3,1,2,2,1,1,1,1,1,3,1,1,8,11,8,11,8,11,3,11,4,11,4,11,2,11,6,11,8,11,4,11,4,11,4,11,8,11,8,11,9,11,6,11,5,11,7,11,4,11,8,11,8,11,4,11,3,11,4,11
8,1343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2,1,1,1,1,2,2,1,1,3,3,2,9,11,10,11,10,11,6,11,5,11,5,11,9,11,9,11,8,11,4,11,7,11,4,11,9,11,8,11,10,11,5,11,5,11,9,11,6,11,9,11,9,11,3,11,5,11,3,11
9,779,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,6,5,6,5,5,5,5,5,5,6,5,7,9,11,9,11,9,11,8,11,7,11,8,11,9,11,9,11,9,11,8,11,8,11,8,11,9,11,9,11,9,11,8,11,7,11,8,11,9,11,9,11,9,11,8,11,8,11,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,7,1,2,1,1,1,1,3,1,2,1,1,10,11,10,11,10,11,7,11,6,11,8,11,10,11,10,11,10,11,7,11,7,11,6,11,10,11,10,11,10,11,6,11,5,11,10,11,8,11,8,11,10,11,8,11,8,11,8,11
11,1351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2,2,3,3,2,1,2,3,2,2,2,2,7,11,7,11,7,11,6,11,4,11,3,11,7,11,5,11,6,11,4,11,2,11,3,11,7,11,5,11,7,11,4,11,3,11,6,11,3,11,7,11,7,11,3,11,4,11,5,11
12,1229,11,11,11,11,11,11,1,11,11,11,11,11,11,11,11,11,11,11,1,1,1,1,1,1,1,1,1,1,1,1,10,11,10,11,10,11,1,11,1,11,1,11,1,11,6,11,10,11,1,11,1,11,1,11,10,11,10,11,10,11,4,11,3,11,8,11,8,11,10,11,10,11,1,11,1,11,6,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,9,9,10,10,10,10,10,10,10,10,10,9,10,10,11,10,9,10,10,9,10,10,10,10,9,10,9,10,10,10,9,10,10,10,10,9,10,10,10,10,10,10,10,10,9,9,10,9,9,10,10,10,10,10,9,9,10,10,9,9,10,9,9,10,10,10,10,10,10,10,10,10,10,10,10
14,1474,8,8,9,9,9,9,8,9,9,9,8,8,8,9,9,8,9,9,9,9,9,8,8,8,7,8,8,7,8,9,8,9,8,9,7,7,8,8,8,8,8,8,9,9,9,9,8,9,9,8,8,9,8,7,9,8,8,9,8,9,8,7,8,9,8,8,8,8,8,8,8,9,9,7,8,8,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,7,8,9,8,8,8,8,7,9,9,7,7,9,9,8,8,8,8,9,9,8,9,9,8,9,8,8,9,9,10,9,8,9,8,8,8,8,7,8,9,9,9,9,8,9,7,8,8,9,8,9,8,7,9,8,9,8,9,8,7,8,7,8,8,8,8,9,8,8,7,8,8,9,7,9,9,8
16,1464,8,8,9,7,9,6,8,9,8,7,8,7,7,8,9,8,6,7,9,8,10,9,9,8,8,8,11,8,7,9,8,8,9,7,8,8,7,6,8,7,8,7,8,8,9,8,8,9,8,8,9,7,9,7,9,8,8,8,8,9,7,8,8,9,9,8,7,8,6,7,7,7,9,6,7,7,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1125,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2,2,1,2,2,2,3,3,2,1,3,3,10,11,10,11,10,11,8,11,7,11,7,11,8,11,10,11,10,11,3,11,2,11,1,11,10,11,10,11,10,11,7,11,7,11,7,11,10,11,7,11,10,11,4,11,5,11,8,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,3,2,2,1,1,1,1,1,1,2,2,1,9,11,8,11,9,11,7,11,6,11,6,11,9,11,9,11,10,11,4,11,6,11,5,11,10,11,9,11,9,11,7,11,5,11,9,11,5,11,10,11,10,11,4,11,7,11,7,11
19,1329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,3,4,6,1,4,1,4,2,6,5,3,6,10,11,10,11,10,11,10,11,5,11,10,11,10,11,10,11,10,11,10,11,8,11,7,11,10,11,8,11,10,11,7,11,1,5,10,11,10,11,10,11,10,11,10,11,10,11,4,11
20,1354,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2,3,1,3,1,1,1,1,1,4,2,4,9,11,9,11,9,11,7,11,6,11,4,11,9,11,9,11,9,11,8,11,7,11,7,11,9,11,9,11,9,11,6,11,7,11,7,11,9,11,9,11,9,11,4,11,3,11,6,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1369,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2,2,2,1,1,2,1,1,1,2,2,4,8,11,10,11,9,11,6,11,5,11,3,11,10,11,10,11,8,11,6,11,6,11,5,11,9,11,10,11,10,11,6,11,1,11,4,11,10,11,10,11,10,11,4,11,3,11,8,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,11,10,11,10,11,10,11,10,11,10,11,10,11,10,11,10,11,10,11,10,11,10,11,10,11,10,11,10,11,10,11,10,11,10,11,10,11,10,11,10,11,10,11,10,11,10,11
23,1238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,3,1,1,1,1,1,1,1,1,1,1,1,8,11,10,11,10,11,5,11,5,11,3,11,10,11,10,11,10,11,8,11,4,11,7,11,7,11,10,11,10,11,3,11,3,11,10,11,3,11,10,11,10,11,7,11,5,11,6,11
24,1079,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,1,1,1,1,1,1,1,1,1,1,1,1,7,11,8,11,9,11,2,11,2,11,2,11,7,11,7,11,7,11,3,11,1,11,3,11,7,11,8,11,7,11,2,11,1,11,1,11,8,11,8,11,4,11,1,11,1,11,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1554,9,8,7,9,8,7,8,9,8,9,8,9,9,9,9,9,9,9,8,8,10,9,10,8,9,10,10,10,9,8,8,8,9,7,9,10,9,8,7,9,8,9,9,8,8,7,9,7,9,9,8,9,9,9,10,8,8,9,9,9,8,8,9,10,8,9,9,9,9,7,9,8,9,9,9,9,10,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,9,8,9,8,9,10,9,10,9,10,10,8,10,10,8,8,8,8,10,10,8,8,8,9,10,8,9,8,10,9,8,8,8,10,10,8,8,8,8,10,10,9,8,10,8,8,9,10,9,10,8,10,9,8,10,8,10,8,10,10,9,8,8,10,8,10,10,9,8,10,8,10,9,10,8,8
27,1591,9,9,8,10,8,10,9,10,9,9,8,9,9,10,10,8,9,7,7,10,8,10,9,8,8,10,9,8,10,8,10,8,8,9,9,9,8,10,10,8,9,10,8,9,9,8,9,10,9,10,8,8,9,8,8,9,8,10,8,9,10,9,9,10,8,9,8,9,8,9,9,9,10,9,9,8,9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,4,10,6,5,6,6,7,5,4,4,6,4,3,4,4,11,7,11,5,11,7,11,4,11,5,11,6,11,6,11,7,11,6,11,6,11,6,11,5,11,6,11,7,11,6,11,6,11,4,11,6,11,11,11,5,11,5,11,7,11
29,1651,9,9,9,8,9,9,7,7,8,9,7,8,8,9,7,9,7,7,7,7,7,7,8,8,8,7,7,7,7,8,9,9,9,8,9,7,9,7,9,9,8,9,9,8,9,9,8,9,7,7,7,8,7,8,8,7,9,7,8,7,7,9,8,9,9,9,7,9,9,7,8,9,7,9,8,8,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,9,7,8,8,7,8,7,8,9,8,8,7,8,9,9,8,7,8,9,9,7,7,9,7,7,9,8,9,7,9,9,9,8,7,7,7,7,8,9,9,9,7,8,7,7,7,9,8,7,9,9,9,9,8,8,8,7,8,9,8,8,7,9,7,8,8,8,8,8,9,8,8,9,7,8,7
31,1682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,7,10,7,7,9,7,9,8,8,9,8,9,8,7,7,7,8,7,9,7,10,9,8,7,9,8,7,8,8,9,8,8,7,8,10,9,8,8,7,8,10,7,9,8,9,10,7,8,8,7,7,7,8,10,8,9,9,9,9,8,9,8,9,9,8,9,9,10,8,7,8,7,9,8,10,10,8
